@relation 'adult1-weka.filters.unsupervised.attribute.Remove-R3,5-weka.filters.unsupervised.attribute.Discretize-F-B3-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Discretize-F-B3-M-1.0-Rfirst-last'

@attribute age-bin {'\'(-inf-31.5]\'','\'(31.5-43.5]\'','\'(43.5-inf)\''}
@attribute ' workclass' {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc'}
@attribute ' education' {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool'}
@attribute ' marital-status' {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute ' occupation' {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv'}
@attribute ' relationship' {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute ' race' {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute ' sex' {' Male',' Female'}
@attribute ' capital-gain-bin' {'\'(-inf-704.5]\'','\'(704.5-6238]\'','\'(6238-inf)\''}
@attribute capital-loss-bin {'\'(-inf-670]\'','\'(670-1881.5]\'','\'(1881.5-inf)\''}
@attribute ' hours-per-week-bin' {'\'(-inf-39]\'','\'(39-40.5]\'','\'(40.5-inf)\''}
@attribute ' native-country' {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia'}
@attribute ' gain' {' <=50K',' >50K'}

@data
'\'(31.5-43.5]\'',' State-gov',' Bachelors',' Never-married',' Adm-clerical',' Not-in-family',' White',' Male','\'(704.5-6238]\'','\'(-inf-670]\'','\'(39-40.5]\'',' United-States',' <=50K'
'\'(43.5-inf)\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(-inf-39]\'',' United-States',' <=50K'
'\'(31.5-43.5]\'',' Private',' HS-grad',' Divorced',' Handlers-cleaners',' Not-in-family',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(39-40.5]\'',' United-States',' <=50K'
'\'(43.5-inf)\'',' Private',' 11th',' Married-civ-spouse',' Handlers-cleaners',' Husband',' Black',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(39-40.5]\'',' United-States',' <=50K'
'\'(-inf-31.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' Black',' Female','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(39-40.5]\'',' Cuba',' <=50K'
'\'(31.5-43.5]\'',' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(39-40.5]\'',' United-States',' <=50K'
'\'(43.5-inf)\'',' Private',' 9th',' Married-spouse-absent',' Other-service',' Not-in-family',' Black',' Female','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(-inf-39]\'',' Jamaica',' <=50K'
'\'(43.5-inf)\'',' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(40.5-inf)\'',' United-States',' >50K'
'\'(-inf-31.5]\'',' Private',' Masters',' Never-married',' Prof-specialty',' Not-in-family',' White',' Female','\'(6238-inf)\'','\'(-inf-670]\'','\'(40.5-inf)\'',' United-States',' >50K'
'\'(31.5-43.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male','\'(704.5-6238]\'','\'(-inf-670]\'','\'(39-40.5]\'',' United-States',' >50K'
